id,text,label
0,rt   she look like a tranny,1
1,rt  the shit you hear about me might be true or it might be faker than the bitch who told it to ya,1
2,the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes,1
3,bitch who do you love,1
4,bitches get cut off everyday b,1
5,fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up,1
6,jus meet son now he ya mane ass bitches,1
7,momma said no pussy cats inside my doghouse,1
8,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,1
9,pimps up pimps up hoes down  future voice,1
10,these hoes like niggas that spend money not talk bout it,1
11,all i wanna do is get money and fuck model bitches  russell simmons,1
12,simplyaddictedtoguys  woof woof hot scally lad,2
13,on my way to fuck yo bitch  me as a  year old,1
14,if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like  prople,1
15,let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,1
16,harlem shake is just an excuse to go full retard for  seconds,1
17,im an early bird and im a night owl so im wise and have worms,2
18,these hoes be thinking meat wont slap they ass  ainna bruh,1
19,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,1
20,if she kiss u with her eyes open watch that bitchlmfao,1
21,ugly bitches be like im my own wcw duh bitch you aint nobody elses,1
22,this isnt ghettoits smart  im doing this idc,2
23,lets get drunk get blowed spit shit spark blunts  fuck hoes bro white dudes have no chill,1
24,is soooo cute but he probably has hoes on him a lot,1
25,if you dressed up as a cat for halloween you are basic or a pussy,1
26,stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh,1
27,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,1
28,peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,2
29,naw its my old tape new cover  my upcoming mixtape is  yeah im waiting on that hoe mayne,1
30,thats where i get my yellow flags for being amazing  hell yeah niggy,1
31,dont got time for bitches to be actin iffy,1
32,shut yo bitch ass up,1
33,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,1
34,easy cum easy hoe thats a fact,1
35,fuck twerking bitch can you cook,1
36,shut up zoe fight me pussy for zoe im good man you are good maam move along now,1
37,lmao fucking snake bitches  em,1
38,def not cowboy lol rt  terrell owens was the best eagle  cowboy ever dude cried like a bitch on tv over romo,1
39,love frat boy w soft long soles,2
40,im tired of bitches saying i look mean  nigga you big af wear tight shirts and grim everybody,1
41,money getting taller and bitches getting blurry,1
42,ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,2
43,stop bringing weird niggers into my mentions,0
44,i think worst advice i gave you was  dont be a pussy and speed up lol,1
45,prince this is art  nobody takin his bitch,1
46,inna di ghetto you alone lmaoo,2
47,ol bitch ass,1
48,eli manning just threw his nflleading th interception of the season lmao trash,2
49,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team   hes a bitch,1
50,this scally lad would get it,2
51,no slushes hoes nasty anyway fam,1
52,i can ride your bitch with no handle bars,1
53,these harbor bitches are all party bus hoes lol all,1
54,"on my way to fuck your bitch 

lmfao kittycopter",1
55,a smuggler explains how he helped fighters along the jihadi highway,2
56,aww their avis look so cute together    do i gotta get ike avi on this bitch,1
57,"whys this bitch boosting herself 

her size isnt exactly the most healthy tho",1
58,bet not be no bitches   kim bye,1
59,happy birthday bitch nigga  thanks pal,1
60,yeah texans are so much better you fucking retard i see that youre mad about this,1
61,hot meat  sexy as fuck scally lad i would love to meet him and his trainers,1
62,woof woof sexy thug boy scally,2
63,lassen cc  the coach wants me i feel it youll get more my nig no doubt,1
64,its me hoe its me hoe shhhhh,1
65,hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone  on my soul,1
66,ashley young has tried to deny that bird s landed in his mouth    hahaha,2
67,hes doing it right   no bitches smh,1
68,sitting on my window sill window open bird tries to fly in smacked it,2
69,"im not even shy stfu kikis mom hi angelique 
angelique smiles dips cracker in soup",2
70,loud bitches annoy me,1
71,k bye hoe um bye,1
72,stacey dash won   baddest bitch evaaaa,1
73,side bitch sunday,1
74,"facts what baldheaded bitch made this shit  

lmao",1
75,fuck wit us and then we tweakin hoe shmurda,1
76,one of us is on drugs and its me but youre still wrong   hahahahahahah im a bitch sometimes,1
77,all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice,1
78,im so sure bitch frfr tf,1
79,got a couple bitches saying they know me but ima let the money talk for me  and im like,1
80,brownies tonight what kind,2
81,next year bitches is gonna be like you gotta promise you wont expose me,1
82,i dont ever expose females like that thats childish bitch nigga shiiii,1
83,thick raw fuck  damn his man pussy is getting a workout,1
84,niggas whole hoes out here cuz couldnt had said it better,1
85,chase money  not  hoes,1
86,these newly gay bitches dont kno how shit works,1
87,awww meat meat in his feelinsi ainn n my feelings bitch,1
88,baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said i aint real if you do,1
89,batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls ive nailedive moved onstop being a pussy n do it urself,1
90,brownies for my brownie i love this movie,2
91,"dad say hi to my snapchat 
dad  duces bitch",1
92,do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunchthese hoes,1
93,dont know no ugly bitches dont know no broke niggas,1
94,"dropped a stack cause bitch im on
 
song called dope
download the mixtape here",1
95,foreign chick no lie man that bitch beautiful,1
